,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.25669812526486,67.01846965699208,72.57142857142857,69.68449931412894,69.36511469294433,86.07300046578248,48.95914309911693
Random Forest,99.56141826033728,88.60759493670885,72.0,79.44514501891551,79.66210928349665,85.94486457787367,64.12707733055727
K-NN,99.2163378424738,78.93175074183976,45.6,57.8051430641072,59.65346524260913,72.72750713016724,36.633261491896896
MLP,99.54729216136042,93.9591836734694,65.77142857142857,77.3781512605042,78.41170789841017,82.86052896943436,62.201227532623925
SVM,91.55931952563215,12.170683856502242,99.25714285714285,21.682686306328794,33.21603270071693,95.36238305601934,12.089017790077714
LOF,97.82727144308191,12.512664640324214,14.114285714285716,13.26530612244898,12.19183051113486,56.469372029907326,2.7770983217215153
IF,98.79524555868721,48.863006100942876,50.34285714285714,49.59189417393752,48.98795200559071,74.8576331442652,25.18358478619359
