,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.27755093804024,68.8826815642458,70.45714285714286,69.66101694915254,69.30001840113673,85.03900087224821,48.88054045693435
Random Forest,99.46388091025891,80.1010739102969,72.45714285714286,76.0876087608761,75.91472091768247,86.1213636633258,58.363177158377496
K-NN,99.53451140514325,86.13387978142076,72.05714285714285,78.46919726197885,78.55423190879006,85.95948197985757,62.39454910724509
MLP,99.57016298827533,86.09486679662119,75.71428571428571,80.57160231073274,80.52478040320301,87.7843096451982,65.47199876816406
SVM,99.43159268402607,81.1424638678596,67.37142857142857,73.61848267249452,73.65792494072292,83.59246054705618,55.05093244372708
LOF,98.12795554987522,21.574023115024765,22.400000000000002,21.979254275301376,21.03600630983274,60.71501249055551,5.746068911602936
IF,99.01386375713872,57.94183445190156,59.199999999999996,58.564160542679474,58.068643348512516,79.34406273185806,34.7818533607392
