,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.49415112235219,79.91606714628297,76.17142857142856,77.99882972498537,77.76601859940727,87.97169967823083,61.15371396882361
Random Forest,99.59168847243056,86.51757188498402,77.37142857142857,81.6892911010558,81.61354945210864,88.6139021001053,67.2062591991457
K-NN,99.62868539832236,87.34413965087282,80.05714285714286,83.54203935599284,83.43552328078027,89.95948197985759,70.15998496920955
MLP,99.6239766986634,87.57097791798107,79.31428571428572,83.2383808095952,83.15285942933409,89.59009546110035,69.69980266816755
SVM,99.63944814039996,88.76117496807151,79.42857142857143,83.83594692400482,83.78621418476293,89.65438550259292,70.74389495710024
LOF,98.22145687167449,25.732899022801302,27.085714285714285,26.391982182628066,25.501004941198723,63.07726913379044,7.828268187436947
IF,99.50894989270893,78.61952861952862,80.05714285714286,79.33182332955833,79.08669162151719,89.89890108394101,63.175310652116266
