,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.38181500191712,75.22768670309654,70.8,72.94671769208124,72.66853166811183,85.26114041834852,53.6049372608961
Random Forest,99.37576095949846,75.0,70.45714285714286,72.65763111373012,72.37834651475565,85.08869082058429,53.19062824624001
K-NN,99.5324933910037,85.23714094856379,72.91428571428571,78.59562673236833,78.60500262857666,86.38192725041498,62.468898719973495
MLP,99.56814497413579,88.36565096952909,72.91428571428571,79.89981214777708,80.05981270634392,86.39996538234519,64.75002945526019
SVM,99.544601475841,87.54373687893631,71.48571428571428,78.70399496697075,78.88810219920774,85.68227624694057,62.91692863885946
LOF,99.24459004042755,67.25371491469456,69.82857142857142,68.51696103167927,68.14712247314277,84.71178215771064,47.31747884613651
IF,99.45648152508055,75.93612334801763,78.8,77.34155916993831,77.0801218030803,89.25127049710369,60.08722628016253
