,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.42352062746787,77.27550397067807,72.28571428571429,74.69737230587542,74.44854448239107,86.01624987723373,56.18539563231779
Random Forest,99.47666166647608,79.56204379562044,74.74285714285715,77.07719505008839,76.85112558103431,87.25707362183323,59.764265483992084
K-NN,99.60177854312833,86.36934673366834,78.57142857142857,82.28605625374027,82.17912635312462,89.21186004743397,68.11388134389776
MLP,99.60917792830668,84.77096966091612,81.42857142857143,83.06616146895948,82.88570651803722,90.62715813364164,69.2464077794832
SVM,99.6239766986634,90.26369168356997,76.28571428571429,82.6881387426448,82.79794988803825,88.09384787874485,69.13746056410433
LOF,98.71587033586482,45.42314335060449,45.08571428571428,45.253799827932326,44.6044419982433,72.2202128207846,21.125785826680588
IF,99.48204303751488,77.13178294573643,79.60000000000001,78.34645669291339,78.09432924701267,89.65943870778908,61.637042907412955
