,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.24459004042755,66.70218433670752,71.54285714285714,69.03777226357872,68.69905090299727,85.55871475149677,48.05563879834159
Random Forest,99.55603688929847,88.98426323319028,71.08571428571429,79.03430749682339,79.32082237046318,85.49044445762594,63.59547083939805
K-NN,99.16925084588426,75.31956735496559,43.77142857142857,55.36682327430431,57.05189036770722,71.80028841562968,33.630359262860985
MLP,99.50155050753055,86.16487455197132,68.68571428571428,76.43879173290938,76.69071747544508,84.27717111526219,59.5515834655694
SVM,91.84587753344859,12.56676772051393,99.4857142857143,22.31479107921046,33.85247573044995,95.620293141523,12.508192671798515
LOF,97.76605834751548,9.405684754521964,10.4,9.877883310719133,8.7611074448832,54.60338027785531,2.0329399380763413
IF,98.77977411695065,48.2436882546652,50.228571428571435,49.216125419932816,48.60896482718929,74.79334310277261,24.818012186621885
