,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.23719065524918,66.43543223052295,71.14285714285714,68.70860927152319,68.36397962483166,85.3573533830492,47.60376369082527
Random Forest,99.55670956067833,88.99213724088635,71.14285714285714,79.07272149888854,79.35657168493668,85.51901588619737,63.651248112483806
K-NN,99.2452627118074,81.84584178498986,46.114285714285714,58.99122807017545,61.11400080968129,72.9962216191144,38.37695443719177
MLP,99.51500393512758,90.60773480662984,65.60000000000001,76.10208816705337,76.87501662909504,82.75949928868499,59.84362220381936
SVM,91.59766179428364,12.21417012594104,99.2,21.750297563114703,33.2711204893193,95.35355146993759,12.125874164251423
LOF,97.84207021343863,11.22340425531915,12.057142857142857,11.62534435261708,10.541391907920438,55.460540443825565,2.3884631380888637
IF,98.68627279515138,44.42001099505223,46.17142857142857,45.278789576912295,44.62274076507891,72.74162841059263,21.14301008782071
