,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.41746658504921,74.23245614035088,77.37142857142857,75.7694459988808,75.4913428075859,88.52575349312556,57.701089645869544
Random Forest,99.62599471280296,90.4471544715447,76.28571428571429,82.76503409795413,82.88342821502955,88.09486890508053,69.27741646235934
K-NN,99.27687826666039,79.57931638913234,51.88571428571429,62.815634728467664,63.92874275903123,75.86355743078657,41.856686034024186
MLP,99.55603688929847,92.18266253869969,68.05714285714286,78.30374753451677,79.0035556435654,83.99419687527046,63.11290963481737
SVM,92.53872905469491,13.541991882610052,99.14285714285714,23.829144348303803,35.206171655236034,95.80145899801337,13.436007737171158
LOF,97.67188435433638,6.1955965181771635,6.914285714285715,6.535241695922226,5.368367462888291,52.833636108158785,1.5241629227480624
IF,98.2402916703103,25.971143174250834,26.74285714285714,26.351351351351347,25.46384716311619,62.91741219416615,7.8077904264255205
