,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.13359926275217,62.392703862660944,66.45714285714286,64.36081903707803,63.95534387613737,82.98999160813592,41.8592664384151
Random Forest,99.46388091025891,85.37490720118782,65.71428571428571,74.26541814659348,74.64711879340648,82.79009546110035,56.50711327440533
K-NN,99.28024162355965,83.93213572854292,48.05714285714286,61.11918604651163,63.20461710849047,73.97377634855701,40.94684465440129
MLP,99.48607906579399,87.4051593323217,65.82857142857142,75.09778357235983,75.61223121240468,82.85778892371184,57.93982522848483
SVM,91.5310673276784,12.140262643196424,99.31428571428572,21.635752520851486,33.18057046703603,95.37631977377946,12.065087184487002
LOF,97.9053013231446,13.214670981661273,14.000000000000002,13.596004439511656,12.542049463213582,56.452389541967584,2.8624243641080342
IF,98.61698764302676,41.61184210526316,43.371428571428574,42.47341913822048,41.78297955987291,71.3232499365505,18.714267713371992
