,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.33069197704846,70.39438141545111,74.45714285714286,72.36878644820882,72.0593476158053,87.04206395125523,52.71432924069776
Random Forest,99.56747230275593,86.92461641094063,74.45714285714286,80.20929516774392,80.23706132588308,87.16186437464083,65.0222699259108
K-NN,99.28360498045889,78.95181741335587,53.37142857142857,63.6890555744971,64.58291512407291,76.60096909985346,42.68661268257219
MLP,99.50558653580967,88.88888888888889,66.28571428571428,75.94108019639934,76.52966451551457,83.09350753663297,59.31751103474689
SVM,92.17683185233518,12.99625468164794,99.14285714285714,22.980132450331123,34.41982142217148,95.61835494181608,12.894948283645864
LOF,97.6813017536543,5.176967776016904,5.6000000000000005,5.380181169365907,4.211608445403528,52.189085909155885,1.4011633149704705
IF,98.33715634900881,29.465301478953354,29.599999999999998,29.532497149372865,28.69122936824412,64.37797578125533,9.55046037774638
