,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.13090857723277,62.25910064239829,66.45714285714286,64.28966279712547,63.88506653966829,82.98863023968836,41.7704775554634
Random Forest,99.47464365233652,86.2378459237098,65.88571428571429,74.7003563330094,75.12917590930228,82.88023419426922,57.22000558522087
K-NN,99.28024162355965,83.93213572854292,48.05714285714286,61.11918604651163,63.20461710849047,73.97377634855701,40.94684465440129
MLP,99.49751447925145,95.63239308462238,60.05714285714285,73.78027378027377,75.57678326203371,80.01223500720067,57.90428022705177
SVM,91.5324126704381,12.136668529904975,99.25714285714285,21.628688830780725,33.164564650216775,95.34876937154368,12.055255148763742
LOF,97.9053013231446,13.214670981661273,14.000000000000002,13.596004439511656,12.542049463213582,56.452389541967584,2.8624243641080342
IF,98.3156308648536,29.240088105726876,30.342857142857145,29.781267526640498,28.934232118595816,64.7340889576488,9.692264574404398
