,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.33943670498651,70.73434125269978,74.85714285714286,72.73736812881731,72.4330712386729,87.24410600392657,53.24568228772676
Random Forest,99.57487168793429,88.9275766016713,72.97142857142858,80.16321406151916,80.35009964374585,86.43159988992363,65.20989660286044
K-NN,99.30580313599397,78.1789638932496,56.91428571428572,65.87301587301589,66.37534749303569,78.3625277500372,45.002193099079854
MLP,99.58159840173279,91.53166421207658,71.02857142857142,79.98712998712999,80.4349308173089,85.47514637141828,65.35467788421933
SVM,94.75988995096226,18.303946263643997,99.65714285714286,30.927469409469772,41.55393606436122,97.17934842961287,18.245225904733466
LOF,97.65170421294084,4.352385946512848,4.742857142857143,4.539239814055237,3.3558600080309455,51.75064455933962,1.3277706379601812
IF,97.99745730218416,16.56675749318801,17.37142857142857,16.959553695955368,15.951233005500528,58.16465051240935,3.850565259795205
