,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.14099864793052,62.708221386351426,66.68571428571428,64.63583494876765,64.23257432718029,83.10665971720488,42.20959276180851
Random Forest,99.49011509407309,87.97856049004594,65.65714285714286,75.19633507853402,75.76465950971291,82.77513771700457,58.168484643897635
K-NN,99.28024162355965,83.93213572854292,48.05714285714286,61.11918604651163,63.20461710849047,73.97377634855701,40.94684465440129
MLP,99.49011509407309,88.21263482280432,65.42857142857143,75.13123359580052,75.73388148300282,82.66221337116642,58.12323296887312
SVM,91.5310673276784,12.140262643196424,99.31428571428572,21.635752520851486,33.18057046703603,95.37631977377946,12.065087184487002
LOF,97.9053013231446,13.214670981661273,14.000000000000002,13.596004439511656,12.542049463213582,56.452389541967584,2.8624243641080342
IF,98.61833298578645,41.62072767364939,43.142857142857146,42.368125701459036,41.67602302236333,71.21100627493614,18.625679105011717
