,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.33069197704846,70.39438141545111,74.45714285714286,72.36878644820882,72.0593476158053,87.04206395125523,52.71432924069776
Random Forest,99.56747230275593,86.92461641094063,74.45714285714286,80.20929516774392,80.23706132588308,87.16186437464083,65.0222699259108
K-NN,99.30580313599397,78.1789638932496,56.91428571428572,65.87301587301589,66.37534749303569,78.3625277500372,45.002193099079854
MLP,99.53585674790295,89.90963855421687,68.22857142857143,77.58284600389864,78.10564610607328,84.06867987129235,61.718067249331284
SVM,94.75988995096226,18.303946263643997,99.65714285714286,30.927469409469772,41.55393606436122,97.17934842961287,18.245225904733466
LOF,97.65170421294084,4.352385946512848,4.742857142857143,4.539239814055237,3.3558600080309455,51.75064455933962,1.3277706379601812
IF,98.33715634900881,29.465301478953354,29.599999999999998,29.532497149372865,28.69122936824412,64.37797578125533,9.55046037774638
