,accuracy,precision,recall,f1,MCC,ROC-AUC,AUPR
Decision Tree,99.33674601946711,70.47159699892819,75.14285714285714,72.73230088495576,72.4351448979813,87.38390006777671,53.24698350942971
Random Forest,99.60783258554699,89.5593220338983,75.4857142857143,81.92248062015504,82.03103189199874,87.69044445762594,67.89306996868723
K-NN,99.26611552458277,75.92446892210857,55.14285714285714,63.8861304203906,64.35541702594759,77.46728388518996,42.39496846737418
MLP,99.56747230275593,82.92682926829268,79.65714285714286,81.25910813174002,81.05718707080835,89.73089324245875,66.29661386836975
SVM,95.42314393149515,20.24958794443136,98.28571428571429,33.58063256540414,43.530108580446004,96.83737967690837,19.922632292493777
LOF,97.74049683508116,7.0475173518419645,7.542857142857143,7.28677891250345,6.148057434668663,53.178892954626555,1.6199664585661049
IF,98.49119809499464,36.20593172915501,36.971428571428575,36.584676279332776,35.82328492078896,68.0977242781587,14.127806719840175
